work_order_id,incident_id,work_type,priority,status,raised_at,work_started_at,promised_completion_at,work_completed_at,crew_region
WO0001,INC0006,Valve Replacement,Urgent,In Progress,2026-01-21 15:30:00,2026-01-21 20:30:00,2026-01-22 22:30:00,,North East
WO0002,INC0011,Pressure Investigation,Emergency,Completed,2026-02-05 11:30:00,2026-02-05 17:30:00,2026-02-06 19:30:00,2026-02-06 15:30:00,Midlands
WO0003,INC0016,Network Flush,Routine,Completed,2026-02-20 16:30:00,2026-02-20 23:30:00,2026-02-22 01:30:00,2026-02-22 04:30:00,South West
WO0004,INC0021,Leak Repair,Urgent,Planned,2026-03-07 12:30:00,,2026-03-08 22:30:00,,South East
WO0005,INC0026,Valve Replacement,Emergency,In Progress,2026-03-22 17:30:00,2026-03-23 02:30:00,2026-03-24 04:30:00,,North West
WO0006,INC0031,Pressure Investigation,Routine,Completed,2026-04-06 13:30:00,2026-04-06 23:30:00,2026-04-08 01:30:00,2026-04-09 01:30:00,North East
WO0007,INC0036,Network Flush,Urgent,Completed,2026-04-21 09:30:00,2026-04-21 20:30:00,2026-04-22 22:30:00,2026-04-24 05:30:00,Midlands
WO0008,INC0041,Leak Repair,Emergency,Planned,2026-05-06 14:30:00,,2026-05-08 04:30:00,,South West
WO0009,INC0046,Valve Replacement,Routine,In Progress,2026-05-21 10:30:00,2026-05-21 23:30:00,2026-05-23 01:30:00,,South East
WO0010,INC0051,Pressure Investigation,Urgent,Completed,2026-06-05 15:30:00,2026-06-06 05:30:00,2026-06-07 07:30:00,2026-06-06 23:30:00,North West
WO0011,INC0056,Network Flush,Emergency,Completed,2026-06-20 11:30:00,2026-06-21 02:30:00,2026-06-22 04:30:00,2026-06-22 03:30:00,North East
WO0012,INC0001,Leak Repair,Routine,Planned,2026-01-06 10:30:00,,2026-01-08 04:30:00,,Midlands
WO0013,INC0006,Valve Replacement,Urgent,In Progress,2026-01-21 15:30:00,2026-01-21 20:30:00,2026-01-23 10:30:00,,South West
